Hour,MostInfectedPerson,MostSpreaderPerson,AlivePeople,TotalDead,TotalInfected,TotalQuarantined,CityPopulations
73,Person_City_1_27:1,Person_City_1_20:9,245,278,494,473,City_1:62;City_2:129;City_3:128;City_4:127;City_5:77
74,Person_City_1_27:1,Person_City_1_20:9,232,291,501,485,City_1:64;City_2:127;City_3:134;City_4:123;City_5:75
75,Person_City_1_27:1,Person_City_1_20:9,219,304,512,497,City_1:64;City_2:127;City_3:135;City_4:122;City_5:75
76,Person_City_1_27:1,Person_City_1_20:9,209,314,514,505,City_1:64;City_2:127;City_3:135;City_4:122;City_5:75
77,Person_City_1_27:1,Person_City_1_20:9,196,327,518,510,City_1:64;City_2:127;City_3:135;City_4:120;City_5:77
78,Person_City_1_27:1,Person_City_1_20:9,190,333,520,514,City_1:64;City_2:127;City_3:135;City_4:121;City_5:76
79,Person_City_1_27:1,Person_City_1_20:9,182,341,522,519,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
80,Person_City_1_27:1,Person_City_1_20:9,171,352,523,522,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
81,Person_City_1_27:1,Person_City_1_20:9,156,367,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
82,Person_City_1_27:1,Person_City_1_20:9,150,373,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
83,Person_City_1_27:1,Person_City_1_20:9,146,377,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
84,Person_City_1_27:1,Person_City_1_20:9,137,386,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
85,Person_City_1_27:1,Person_City_1_20:9,132,391,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
86,Person_City_1_27:1,Person_City_1_20:9,128,395,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
87,Person_City_1_27:1,Person_City_1_20:9,120,403,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
88,Person_City_1_27:1,Person_City_1_20:9,118,405,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
89,Person_City_1_27:1,Person_City_1_20:9,113,410,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
90,Person_City_1_27:1,Person_City_1_20:9,108,415,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
91,Person_City_1_27:1,Person_City_1_20:9,103,420,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
92,Person_City_1_27:1,Person_City_1_20:9,99,424,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
93,Person_City_1_27:1,Person_City_1_20:9,92,431,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
94,Person_City_1_27:1,Person_City_1_20:9,91,432,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
95,Person_City_1_27:1,Person_City_1_20:9,84,439,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
96,Person_City_1_27:1,Person_City_1_20:9,82,441,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
97,Person_City_1_27:1,Person_City_1_20:9,78,445,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
98,Person_City_1_27:1,Person_City_1_20:9,77,446,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
99,Person_City_1_27:1,Person_City_1_20:9,70,453,523,523,City_1:64;City_2:128;City_3:133;City_4:122;City_5:76
